period_year,period_quarter,period_label,theme_tag,mention_count
2023,2,2023_Q2,customer_facing_ai,2
2023,2,2023_Q2,governance,4
2023,2,2023_Q2,investment_spend,3
2023,2,2023_Q2,measurable_outcomes,4
2023,2,2023_Q2,operations_efficiency,4
2023,2,2023_Q2,risk_controls,3
2023,2,2023_Q2,use_cases,4
2023,2,2023_Q2,vendors_partnerships,3
2023,3,2023_Q3,customer_facing_ai,2
2023,3,2023_Q3,governance,4
2023,3,2023_Q3,investment_spend,6
2023,3,2023_Q3,measurable_outcomes,6
2023,3,2023_Q3,operations_efficiency,5
2023,3,2023_Q3,risk_controls,3
2023,3,2023_Q3,use_cases,6
2023,3,2023_Q3,vendors_partnerships,4
2023,4,2023_Q4,customer_facing_ai,58
2023,4,2023_Q4,governance,56
2023,4,2023_Q4,investment_spend,61
2023,4,2023_Q4,measurable_outcomes,69
2023,4,2023_Q4,operations_efficiency,66
2023,4,2023_Q4,risk_controls,63
2023,4,2023_Q4,use_cases,72
2023,4,2023_Q4,vendors_partnerships,60
2024,1,2024_Q1,ai_strategy,77
2024,1,2024_Q1,customer_facing_ai,196
2024,1,2024_Q1,governance,177
2024,1,2024_Q1,investment_spend,210
2024,1,2024_Q1,measurable_outcomes,215
2024,1,2024_Q1,operations_efficiency,204
2024,1,2024_Q1,risk_controls,97
2024,1,2024_Q1,use_cases,149
2024,1,2024_Q1,vendors_partnerships,199
2024,2,2024_Q2,ai_strategy,24
2024,2,2024_Q2,customer_facing_ai,252
2024,2,2024_Q2,governance,181
2024,2,2024_Q2,investment_spend,255
2024,2,2024_Q2,measurable_outcomes,249
2024,2,2024_Q2,operations_efficiency,251
2024,2,2024_Q2,risk_controls,181
2024,2,2024_Q2,use_cases,243
2024,2,2024_Q2,vendors_partnerships,210
2024,3,2024_Q3,customer_facing_ai,171
2024,3,2024_Q3,governance,179
2024,3,2024_Q3,investment_spend,188
2024,3,2024_Q3,measurable_outcomes,188
2024,3,2024_Q3,operations_efficiency,187
2024,3,2024_Q3,risk_controls,84
2024,3,2024_Q3,use_cases,181
2024,3,2024_Q3,vendors_partnerships,173
2024,4,2024_Q4,ai_strategy,87
2024,4,2024_Q4,customer_facing_ai,483
2024,4,2024_Q4,governance,399
2024,4,2024_Q4,investment_spend,499
2024,4,2024_Q4,measurable_outcomes,533
2024,4,2024_Q4,operations_efficiency,518
2024,4,2024_Q4,risk_controls,342
2024,4,2024_Q4,use_cases,509
2024,4,2024_Q4,vendors_partnerships,495
2025,1,2025_Q1,ai_strategy,58
2025,1,2025_Q1,customer_facing_ai,209
2025,1,2025_Q1,governance,114
2025,1,2025_Q1,investment_spend,206
2025,1,2025_Q1,measurable_outcomes,205
2025,1,2025_Q1,operations_efficiency,183
2025,1,2025_Q1,risk_controls,114
2025,1,2025_Q1,use_cases,186
2025,1,2025_Q1,vendors_partnerships,155
2025,2,2025_Q2,ai_strategy,1
2025,2,2025_Q2,customer_facing_ai,187
2025,2,2025_Q2,governance,192
2025,2,2025_Q2,investment_spend,221
2025,2,2025_Q2,measurable_outcomes,206
2025,2,2025_Q2,operations_efficiency,201
2025,2,2025_Q2,risk_controls,152
2025,2,2025_Q2,use_cases,193
2025,2,2025_Q2,vendors_partnerships,150
2025,3,2025_Q3,ai_strategy,66
2025,3,2025_Q3,customer_facing_ai,203
2025,3,2025_Q3,governance,144
2025,3,2025_Q3,investment_spend,246
2025,3,2025_Q3,measurable_outcomes,274
2025,3,2025_Q3,operations_efficiency,240
2025,3,2025_Q3,risk_controls,107
2025,3,2025_Q3,use_cases,183
2025,3,2025_Q3,vendors_partnerships,195
2025,4,2025_Q4,ai_strategy,27
2025,4,2025_Q4,customer_facing_ai,336
2025,4,2025_Q4,governance,297
2025,4,2025_Q4,investment_spend,389
2025,4,2025_Q4,measurable_outcomes,373
2025,4,2025_Q4,operations_efficiency,364
2025,4,2025_Q4,risk_controls,264
2025,4,2025_Q4,use_cases,340
2025,4,2025_Q4,vendors_partnerships,305
2026,1,2026_Q1,customer_facing_ai,5
2026,1,2026_Q1,governance,4
2026,1,2026_Q1,investment_spend,6
2026,1,2026_Q1,measurable_outcomes,6
2026,1,2026_Q1,operations_efficiency,5
2026,1,2026_Q1,risk_controls,5
2026,1,2026_Q1,use_cases,6
2026,1,2026_Q1,vendors_partnerships,5
2026,2,2026_Q2,governance,1
2026,2,2026_Q2,measurable_outcomes,1
2026,2,2026_Q2,operations_efficiency,1
2026,2,2026_Q2,risk_controls,1
2026,2,2026_Q2,use_cases,1
