Ticker,Bank,Maturity,Breadth,Momentum,Composite,Rank
FHN,First Horizon Corp,76.14,64.13,-0.17,68.0,1
COF,Capital One Financial Corp,62.39,77.81,-12.42,65.0,2
C,Citigroup Inc,66.16,67.64,3.19,64.49,3
AXP,American Express Co,68.8,66.91,-11.88,64.43,4
PNC,"Pnc Financial Services Group, Inc.",58.93,81.09,-13.12,64.36,5
BKU,"BankUnited, Inc.",58.33,61.31,80.0,64.13,6
FITB,Fifth Third Bancorp,63.64,66.08,10.49,63.23,7
RF,Regions Financial Corp,61.07,69.24,-5.32,61.87,8
JPM,Jpmorgan Chase & Co,60.54,67.73,3.66,61.75,9
CFG,Citizens Financial Group Inc/Ri,60.59,69.51,-6.3,61.65,10
ALLY,Ally Financial Inc.,65.62,63.49,-12.06,61.63,11
WTFC,Wintrust Financial Corp,62.5,66.91,-10.42,61.39,12
SOFI,"SoFi Technologies, Inc.",59.85,70.37,-9.7,61.33,13
WAL,Western Alliance Bancorporation,69.79,59.31,-29.44,60.95,14
SYF,Synchrony Financial,72.0,50.24,-5.0,60.71,15
MS,Morgan Stanley,62.72,63.39,-6.27,60.58,16
COLB,"Columbia Banking System, Inc.",45.0,83.39,10.83,60.0,17
BK,Bank of New York Mellon Corp,62.5,61.12,-4.45,59.81,18
SF,Stifel Financial Corp,58.57,61.45,18.94,59.71,19
NTRS,Northern Trust Corp,60.53,56.63,13.7,58.61,20
BAC,Bank Of America Corp,57.01,64.83,-1.71,58.57,21
HBAN,Huntington Bancshares Inc,61.11,58.03,0.48,58.4,22
SNV,Synovus Financial Corp,65.0,50.24,7.29,58.13,23
ZION,"Zions Bancorporation, National Association",59.68,58.03,-2.55,57.46,24
GS,Goldman Sachs Group Inc,51.52,69.01,0.08,57.42,25
ASB,Associated Banc-Corp,53.38,51.63,27.86,54.35,26
WFC,Wells Fargo & Company/Mn,65.79,53.34,-66.67,54.06,27
TFC,Truist Financial Corp,61.11,48.0,-15.63,53.68,28
ONB,Old National Bancorp,54.35,50.24,16.0,53.46,29
EWBC,East West Bancorp Inc,62.5,53.04,-52.14,53.4,30
FNB,Fnb Corp,56.73,51.69,-7.63,53.38,31
CMA,Comerica Inc,54.65,51.56,4.89,53.24,32
WBS,Webster Financial Corp,55.13,52.65,-5.52,53.08,33
MTB,M&T Bank Corp,45.83,59.21,17.11,52.42,34
FLG,"Flagstar Financial, Inc.",41.36,61.79,32.43,52.24,35
DFS,Discover Financial Services,58.7,31.38,25.0,49.71,36
KEY,Keycorp,58.82,35.52,-0.22,49.33,37
SSB,SouthState Bank Corp,68.38,18.78,0.21,48.28,38
PB,Prosperity Bancshares Inc,56.25,25.15,36.0,47.13,39
CFR,"Cullen/Frost Bankers, Inc.",45.0,35.52,60.0,46.93,40
SCHW,Schwab Charles Corp,64.38,27.93,-75.0,43.84,41
RJF,Raymond James Financial Inc,56.43,21.03,4.0,43.37,42
PNFP,Pinnacle Financial Partners Inc,58.33,38.69,-92.86,43.24,43
BOKF,Bok Financial Corp,45.59,38.11,-13.71,42.6,44
STT,State Street Corp,58.54,0.0,2.67,36.97,45
VLY,Valley National Bancorp,59.26,-0.0,-3.37,36.88,46
UMBF,Umb Financial Corp,56.25,-0.0,0.0,35.62,47
FCNCA,First Citizens Bancshares Inc,61.0,-0.0,-48.57,34.36,48
USB,Us Bancorp \De\,44.32,-0.0,6.67,30.16,49
BPOP,"Popular, Inc.",39.29,-0.0,-30.0,24.89,50
