workstream,feature,correlation
ai_activity,operations_efficiency,0.8137370514633773
ai_activity,measurable_outcomes,0.8057538977497974
ai_activity,investment_spend,0.7958264889737151
ai_activity,use_cases,0.7748862542089759
ai_activity,governance,0.7718938642374755
ai_activity,customer_facing_ai,0.7601007957311153
ai_activity,vendors_partnerships,0.7102212079257246
ai_activity,risk_controls,0.7055764684681314
ai_activity,ai_strategy,0.41830542229238676
private_credit,private_credit,0.5044416376308203
private_credit,direct_lending,0.5001794271730026
private_credit,fund_finance,0.40787102541857856
private_credit,private_capital,0.2971690162866499
private_credit,asset_based_lending,0.16909283635757646
private_credit,sponsor_finance,0.12831021073337953
private_credit,private_debt,0.08745699508830537
risk_resilience,ROA,0.6428912672613887
risk_resilience,ROE,0.49557887028078246
risk_resilience,NIMY,0.3325920042946515
risk_resilience,equity_assets_ratio,0.209199249199087
risk_resilience,nondepository_requested_rate,-0.10500741001119268
risk_resilience,commercial_loan_90_plus_dpd_rate,-0.36988042822598244
risk_resilience,NCLNLSR,-0.5071192669569449
