,Name,Ticker
0,JPMorgan Chase & Co.,JPM
1,Bank of America Corp.,BAC
2,Citigroup Inc.,C
3,Wells Fargo & Co.,WFC
4,Goldman Sachs Group,GS
5,Morgan Stanley,MS
6,U.S. Bancorp,USB
7,Capital One Financial,COF
8,PNC Financial Services,PNC
9,Truist Financial Corp.,TFC
10,Charles Schwab Corp.,SCHW
11,BNY Mellon,BK
12,State Street Corp.,STT
13,American Express Co.,AXP
14,First Citizens BancShares,FCNCA
15,Citizens Financial Group,CFG
16,Fifth Third Bancorp,FITB
17,M&T Bank Corp.,MTB
18,Huntington Bancshares,HBAN
19,Ally Financial Inc.,ALLY
20,KeyCorp,KEY
21,Northern Trust Corp.,NTRS
22,Regions Financial Corp.,RF
23,Discover Financial Services,DFS
24,Synchrony Financial,SYF
25,Flagstar Financial (formerly NYCB),FLG
26,Western Alliance Bancorp,WAL
27,Raymond James Financial,RJF
28,Zions Bancorporation,ZION
29,First Horizon Corp.,FHN
30,Webster Financial Corp.,WBS
31,East West Bancorp,EWBC
32,Comerica Inc.,CMA
33,"Popular, Inc.",BPOP
34,UMB Financial Corp.,UMBF
35,Old National Bancorp,ONB
36,Wintrust Financial Corp.,WTFC
37,Columbia Banking System,COLB
38,SouthState Corp.,SSB
39,Valley National Bancorp,VLY
40,Synovus Financial Corp.,SNV
41,Pinnacle Financial Partners,PNFP
42,Cullen/Frost Bankers,CFR
43,BOK Financial Corp.,BOKF
44,F.N.B. Corporation,FNB
45,SoFi Technologies,SOFI
46,Associated Banc-Corp,ASB
47,Stifel Financial Corp.,SF
48,Prosperity Bancshares,PB
49,"BankUnited, Inc.",BKU
